beta,slope,Q_slow,Q_fast,ΔQ,w_slow,w_fast,ratio,dominant,crit_slope_dQ0,crit_slope_ratio05
9.25,-1.0303030303030303,0.03125,-0.5696969696969697,-0.6009469696969697,1.3351751743691969,0.005145169479086956,0.003838761011650628,slow,,
9.25,-1.006060606060606,0.03125,-0.5539393939393941,-0.5851893939393941,1.3351751743691969,0.00595252729622672,0.004438449290723637,slow,,
9.25,-0.9818181818181818,0.03125,-0.5381818181818182,-0.5694318181818182,1.3351751743691969,0.00688657222203145,0.005131337838607657,slow,,
9.25,-0.9575757575757575,0.03125,-0.5224242424242425,-0.5536742424242425,1.3351751743691969,0.007967183451526135,0.005931749084626487,slow,,
9.25,-0.9333333333333333,0.03125,-0.5066666666666667,-0.5379166666666667,1.3351751743691969,0.009217359537332683,0.006856151983043913,slow,,
9.25,-0.9090909090909091,0.03125,-0.49090909090909096,-0.522159090909091,1.3351751743691969,0.01066370786581845,0.007923465436003292,slow,,
9.25,-0.8848484848484848,0.03125,-0.4751515151515151,-0.5064015151515151,1.3351751743691969,0.012337010939732206,0.009155398425509479,slow,,
9.25,-0.8606060606060606,0.03125,-0.45939393939393947,-0.49064393939393947,1.3351751743691969,0.014272881519470452,0.010576829139281816,slow,,
9.25,-0.8363636363636363,0.03125,-0.4436363636363636,-0.4748863636363636,1.3351751743691969,0.016512520566287468,0.01221622467094783,slow,,
9.25,-0.812121212121212,0.03125,-0.42787878787878786,-0.45912878787878786,1.3351751743691969,0.019103594118686604,0.014106101759253507,slow,,
9.25,-0.7878787878787878,0.03125,-0.4121212121212121,-0.4433712121212121,1.3351751743691969,0.02210124776447554,0.016283527367057498,slow,,
9.25,-0.7636363636363637,0.03125,-0.39636363636363636,-0.42761363636363636,1.3351751743691969,0.025569280299403554,0.01879065552071698,slow,,
9.25,-0.7393939393939393,0.03125,-0.3806060606060605,-0.4118560606060605,1.3351751743691969,0.02958150155125334,0.021675293532674837,slow,,
9.25,-0.7151515151515151,0.03125,-0.36484848484848487,-0.39609848484848487,1.3351751743691969,0.034223303267836375,0.024991486281546352,slow,,
9.25,-0.6909090909090909,0.03125,-0.3490909090909091,-0.3803409090909091,1.3351751743691969,0.03959347650196198,0.028800101367508286,slow,,
9.25,-0.6666666666666666,0.03125,-0.33333333333333337,-0.36458333333333337,1.3351751743691969,0.04580631417262147,0.033169390431864856,slow,,
9.25,-0.6424242424242423,0.03125,-0.3175757575757575,-0.3488257575757575,1.3351751743691969,0.05299404355101099,0.03817549248816227,slow,,
9.25,-0.6181818181818182,0.03125,-0.30181818181818176,-0.33306818181818176,1.3351751743691969,0.06130964044177596,0.043902833594416706,slow,,
9.25,-0.5939393939393939,0.03125,-0.286060606060606,-0.317310606060606,1.3351751743691969,0.07093008495344641,0.0504443635945258,slow,,
9.25,-0.5696969696969697,0.03125,-0.27030303030303027,-0.30155303030303027,1.3351751743691969,0.08206012815033546,0.057901555235359024,slow,,
9.25,-0.5454545454545454,0.03125,-0.2545454545454545,-0.2857954545454545,1.3351751743691969,0.09493664975121797,0.06638407441292811,slow,,
9.25,-0.5212121212121211,0.03125,-0.23878787878787874,-0.27003787878787877,1.3351751743691969,0.10983369961930282,0.07600901392123696,slow,,
9.25,-0.49696969696969695,0.03125,-0.223030303030303,-0.254280303030303,1.3351751743691969,0.1270683303410807,0.0868995690059553,slow,,
9.25,-0.47272727272727266,0.03125,-0.20727272727272725,-0.23852272727272725,1.3351751743691969,0.14700734502830443,0.0991830244280995,slow,,
9.25,-0.4484848484848485,0.03125,-0.1915151515151515,-0.2227651515151515,1.3351751743691969,0.1700751039559709,0.11298792393860688,slow,,
9.25,-0.4242424242424242,0.03125,-0.17575757575757575,-0.20700757575757575,1.3351751743691969,0.19676255618428484,0.12844030945905058,slow,,
9.25,-0.3999999999999999,0.03125,-0.15999999999999995,-0.19124999999999995,1.3351751743691969,0.22763768838381285,0.145658954958185,slow,,
9.25,-0.37575757575757573,0.03125,-0.14424242424242423,-0.17549242424242423,1.3351751743691969,0.26335761324524076,0.16474958492297248,slow,,
9.25,-0.35151515151515145,0.03125,-0.12848484848484845,-0.15973484848484845,1.3351751743691969,0.30468255475028705,0.1857981636698967,slow,,
9.25,-0.32727272727272727,0.03125,-0.11272727272727273,-0.14397727272727273,1.3351751743691969,0.35249202795104395,0.20886346992252405,slow,,
9.25,-0.303030303030303,0.03125,-0.09696969696969693,-0.12821969696969693,1.3351751743691969,0.4078035576105546,0.23396932511468657,slow,,
9.25,-0.2787878787878787,0.03125,-0.08121212121212115,-0.11246212121212115,1.3351751743691969,0.4717943340917828,0.2610970090433991,slow,,
9.25,-0.2545454545454545,0.03125,-0.06545454545454543,-0.09670454545454543,1.3351751743691969,0.5458262673953379,0.29017854812663396,slow,,
