beta,slope,Q_slow,Q_fast,delta_Q,w_slow,w_fast,ratio,log10_ratio,dominance
8.0,1.976470588235294,0.03125,0.16058823529411764,0.12933823529411764,2.8284271247461903,3.6136049759114153,1.2776022914982061,0.10639568207855875,FAST
8.0,2.011764705882353,0.03125,0.16345588235294117,0.13220588235294117,2.8284271247461903,3.697463554738198,1.3072507763727486,0.11635890842810398,FAST
8.0,2.0470588235294116,0.03125,0.1663235294117647,0.1350735294117647,2.8284271247461903,3.78326818502598,1.3375872943395961,0.12632213477764914,FAST
8.0,2.0823529411764703,0.03125,0.1691911764705882,0.1379411764705882,2.8284271247461903,3.8710640275244637,1.368627812134928,0.1362853611271942,FAST
8.0,2.117647058823529,0.03125,0.17205882352941174,0.14080882352941174,2.8284271247461903,3.960897290999481,1.4003886670245793,0.14624858747673944,FAST
8.0,2.1529411764705886,0.03125,0.17492647058823532,0.14367647058823532,2.8284271247461903,4.0528152565536155,1.4328865754026794,0.1562118138262848,FAST
8.0,2.1882352941176473,0.03125,0.17779411764705885,0.14654411764705885,2.8284271247461903,4.146866302511224,1.4661386415898356,0.16617504017582996,FAST
8.0,2.223529411764706,0.03125,0.18066176470588236,0.14941176470588236,2.8284271247461903,4.243099929880954,1.5001623668354935,0.17613826652537506,FAST
8.0,2.2588235294117647,0.03125,0.18352941176470589,0.15227941176470589,2.8284271247461903,4.341566788409146,1.5349756585292038,0.18610149287492025,FAST
8.0,2.2941176470588234,0.03125,0.18639705882352942,0.15514705882352942,2.8284271247461903,4.442318703237834,1.5705968396256513,0.1960647192244655,FAST
8.0,2.329411764705882,0.03125,0.18926470588235292,0.15801470588235292,2.8284271247461903,4.545408702181396,1.6070446582884046,0.2060279455740106,FAST
8.0,2.3647058823529408,0.03125,0.19213235294117645,0.16088235294117645,2.8284271247461903,4.650891043636187,1.6443382977574632,0.2159911719235557,FAST
8.0,2.4000000000000004,0.03125,0.19500000000000003,0.16375000000000003,2.8284271247461903,4.758821245137855,1.6824973864457933,0.2259543982731011,FAST
8.0,2.435294117647059,0.03125,0.19786764705882356,0.16661764705882356,2.8284271247461903,4.8692561125813585,1.7215420082701627,0.23591762462264634,FAST
8.0,2.4705882352941178,0.03125,0.20073529411764707,0.16948529411764707,2.8284271247461903,4.982253770119093,1.7614927132217264,0.24588085097219142,FAST
8.0,2.5058823529411764,0.03125,0.2036029411764706,0.1723529411764706,2.8284271247461903,5.0978736907528335,1.8023705281819105,0.25584407732173664,FAST
8.0,2.541176470588235,0.03125,0.2064705882352941,0.1752205882352941,2.8284271247461903,5.2161767276355935,1.8441969679892913,0.2658073036712817,FAST
8.0,2.576470588235294,0.03125,0.20933823529411763,0.17808823529411763,2.8284271247461903,5.337225146099909,1.8869940467633037,0.27577053002082696,FAST
8.0,2.6117647058823525,0.03125,0.21220588235294116,0.18095588235294116,2.8284271247461903,5.461082656429361,1.9307842894907228,0.2857337563703721,FAST
8.0,2.647058823529412,0.03125,0.21507352941176475,0.18382352941176475,2.8284271247461903,5.587814447390618,1.9755907438810332,0.29569698271991746,FAST
8.0,2.682352941176471,0.03125,0.21794117647058825,0.18669117647058825,2.8284271247461903,5.7174872205436245,2.021436992496911,0.30566020906946256,FAST
8.0,2.7176470588235295,0.03125,0.22080882352941178,0.18955882352941178,2.8284271247461903,5.850169225348024,2.0683471651662195,0.3156234354190078,FAST
8.0,2.7529411764705882,0.03125,0.2236764705882353,0.1924264705882353,2.8284271247461903,5.985930295084245,2.1163459516820304,0.325586661768553,FAST
8.0,2.788235294117647,0.03125,0.2265441176470588,0.1952941176470588,2.8284271247461903,6.124841883608205,2.1654586147973744,0.3355498881180981,FAST
8.0,2.8235294117647056,0.03125,0.22941176470588234,0.19816176470588234,2.8284271247461903,6.266977102958957,2.2157110035215513,0.34551311446764327,FAST
8.0,2.8588235294117643,0.03125,0.23227941176470585,0.20102941176470585,2.8284271247461903,6.412410761839054,2.267129566724995,0.3554763408171884,FAST
8.0,2.894117647058823,0.03125,0.23514705882352938,0.20389705882352938,2.8284271247461903,6.561219404987925,2.319741367059863,0.36543956716673354,FAST
8.0,2.9294117647058817,0.03125,0.2380147058823529,0.2067647058823529,2.8284271247461903,6.713481353468949,2.3735740952036672,0.3754027935162787,FAST
